Date,Score_Statement,Score_Minutes,Score_News
2000-01-31,1.0,1.0,-0.1317182817182817
2000-02-29,1.0,1.0,-0.11755772962669517
2000-03-31,1.0,0.989090909090909,-0.28157806162899546
2000-04-30,1.0,0.9208777429467083,-0.2217996078257125
2000-05-31,1.0,0.8526645768025077,-0.1610153256704981
2000-06-30,1.0,0.41608391608391604,-0.11497944335298878
2000-07-31,0.7391304347826086,0.43986013986013983,-0.2662169665615186
2000-08-31,0.4782608695652174,0.46363636363636357,-0.20591982091982092
2000-09-30,0.5322338830584707,0.275557461406518,-0.14800527130248492
2000-10-31,0.5862068965517241,0.08747855917667238,-0.23308448351142846
2000-11-30,-0.047619047619047616,0.1088348271446863,-0.22667206431912312
2000-12-31,-0.375,-0.28708133971291866,-0.4053303713830031
2001-01-31,-0.4668192219679633,-0.3316953316953317,-0.3057680788091254
2001-02-28,-0.5609958178805334,-0.30654030654030656,-0.36640936677701397
2001-03-31,-0.6551724137931034,-0.2813852813852814,-0.39291535999315885
2001-04-30,-0.3684210526315789,-0.38076946527650757,-0.31762555899552797
2001-05-31,-0.1724137931034483,-0.4801536491677337,-0.2569148202574748
2001-06-30,-0.375,-0.5185659411011524,-0.23310657207716026
2001-07-31,-0.375,-0.723709848020932,-0.44287892634748616
2001-08-31,-0.375,-0.9288537549407115,-0.28928605949880837
2001-09-30,-1.0,-0.8197405778544786,-0.3297370167958403
2001-10-31,-0.5238095238095238,-0.7106274007682458,-0.3899157800183424
2001-11-30,-1.0,-1.0,-0.25855392400284044
2001-12-31,-1.0,-0.7123473541383989,-0.2826072210023074
2002-01-31,-0.5454545454545454,-0.575027382256298,-0.24938640318146962
2002-02-28,-0.1477272727272727,-0.39314749394505044,-0.43906214675785665
2002-03-31,0.25,-0.2112676056338028,-0.19894751209042635
2002-04-30,0.25,-0.11645631363941222,-0.21099755272622783
2002-05-31,0.25,-0.021645021645021644,-0.30547360470460433
2002-06-30,0.42857142857142855,-0.13636363636363638,-0.1508407095713597
2002-07-31,0.047619047619047616,-0.18181818181818182,-0.3804906773597475
2002-08-31,-0.3333333333333333,-0.22727272727272727,-0.17081376076095986
2002-09-30,-0.3684210526315789,-0.10176390773405698,-0.37462458257854686
2002-10-31,-0.3138401559454191,-0.2514167132253173,-0.3476753998800338
2002-11-30,-0.25925925925925924,-0.4010695187165776,-0.30999836702286554
2002-12-31,-0.375,-0.5980861244019139,-0.3418829957729389
2003-01-31,0.25,-0.6112852664576803,-0.25825850813966267
2003-02-28,0.10119047619047619,-0.5020987195154349,-0.23875958147654552
2003-03-31,-0.047619047619047616,-0.39291217257318956,-0.44763561338513896
2003-04-30,-0.047619047619047616,-0.36691063174114025,-0.33735989958900164
2003-05-31,-0.047619047619047616,-0.34090909090909094,-0.23950811996352797
2003-06-30,0.15384615384615385,-0.15151515151515152,-0.2098200873200873
2003-07-31,0.12237762237762238,-0.005509641873278237,-0.2693478755672904
2003-08-31,0.09090909090909091,0.14049586776859505,-0.3670475440424507
2003-09-30,-0.25925925925925924,-0.052447552447552455,-0.23251990699359118
2003-10-31,0.1111111111111111,-0.050505050505050504,-0.2658868121791321
2003-11-30,0.031746031746031744,-0.06786616161616162,-0.22565720989250407
2003-12-31,-0.047619047619047616,-0.08522727272727273,-0.20338892412446793
2004-01-31,-0.6296296296296297,0.12667660208643813,-0.22886209395946736
2004-02-29,-0.6296296296296297,0.0207246646795827,-0.2842753198825163
2004-03-31,-0.6296296296296297,-0.08522727272727273,-0.1590725180808073
2004-04-30,-0.18981481481481483,0.1453470515970516,-0.24500582750582747
2004-05-31,0.25,0.3759213759213759,-0.0798869009969579
2004-06-30,-0.09090909090909091,0.5298701298701298,-0.1671614170143582
2004-07-31,-0.004914004914004913,0.18701298701298696,-0.17500530833947395
2004-08-31,0.08108108108108109,-0.15584415584415584,-0.1609684835066839
2004-09-30,0.1111111111111111,0.07600596125186289,-0.19209538283067693
2004-10-31,0.15555555555555556,0.09319778582073664,-0.2146913807255363
2004-11-30,0.2,0.11038961038961038,-0.16013772719655073
2004-12-31,0.1111111111111111,0.49768875192604,-0.18048635951861758
2005-01-31,0.1111111111111111,0.3405238828967642,-0.19095958637055213
2005-02-28,0.1111111111111111,0.18335901386748843,-0.11005684968372761
2005-03-31,0.5,0.7183098591549295,-0.09678341371889758
2005-04-30,0.5833333333333333,0.48602060121925583,-0.2135432777099444
2005-05-31,0.6666666666666666,0.2537313432835821,-0.11146105811141266
2005-06-30,0.5,0.1523687580025608,-0.270087875087875
2005-07-31,0.25,0.21811387807363664,-0.2689271889711319
2005-08-31,0.0,0.28385899814471244,-0.1258132936451123
2005-09-30,0.42857142857142855,0.8242424242424242,-0.0035458350845347787
2005-10-31,0.18487394957983191,0.7212121212121212,-0.1862685930179223
2005-11-30,-0.058823529411764705,0.6181818181818182,-0.19652448113748425
2005-12-31,0.5,0.5338842975206611,-0.04730206473668233
2006-01-31,0.3333333333333333,0.6538461538461539,-0.062311450111549135
2006-02-28,0.16666666666666666,0.6964882943143813,-0.10013804687621583
2006-03-31,0.0,0.7391304347826086,-0.20530377733991295
2006-04-30,0.25,0.6271409749670619,-0.0582474890489428
2006-05-31,0.5,0.5151515151515151,-0.13776180452323694
2006-06-30,0.6,0.19941348973607037,-0.23797673963755397
2006-07-31,0.55,0.33152492668621697,-0.16020966408210405
2006-08-31,0.5,0.46363636363636357,-0.24847690402588601
2006-09-30,0.5,0.0635118306351183,-0.2541899518132748
2006-10-31,0.2,0.16707616707616707,-0.3479090977193444
