Date,0-25 BPS,25-50 BPS,50-75 BPS,75-100 BPS,100-125 BPS
2/11/21,1,0,0,0,0
14/12/21,0.955671038,0.044328962,0,0,0
25/1/22,0.925603027,0.074396973,0,0,0
15/3/22,0.806266556,0.193733444,0,0,0
3/5/22,0.712129342,0.287870658,0,0,0
14/6/22,0.571467808,0.428532192,0,0,0
26/7/22,0,0.761523907,0.238476093,0,0
20/9/22,0,-0.260040283,1,0.260040283,0
1/11/22,0,0.56551219,0.43448781,0,0
13/12/22,0,0,0.332310603,0.667689397,0
